Amash	MI	N00031938	0.9970	-0.0760
Benishek	MI	N00031934	0.8800	-0.3230
Bishop	UT	N00025292	0.8240	0.2170
Blackburn	TN	N00003105	0.7920	0.2330
Brady	TX	N00005883	0.7700	0.4110
Brat	VA	N00036013	0.9510	-0.3100
Brooks	AL	N00030910	0.8270	0.1070
Burgess	TX	N00025219	0.7720	0.0660
Chabot	OH	N00003689	0.7880	-0.1790
Chaffetz	UT	N00028958	0.9490	-0.0790
Clawson	FL	N00035854	0.9500	-0.2890
Coffman	CO	N00024753	0.8270	-0.1690
Collins	GA	N00033518	0.8930	-0.1130
Conaway	TX	N00026041	0.7510	0.3890
Desjarlais	TN	N00030957	0.7720	0.1820
Duffy	WI	N00030967	0.8340	-0.2640
Duncan	SC	N00030752	0.9670	0.1360
Duncan	TN	N00003209	1.1080	-0.1740
Fincher	TN	N00031141	0.7670	0.1390
Fleming	LA	N00029679	0.8140	0.0840
Flores	TX	N00031545	0.8110	0.1090
Foxx	NC	N00026166	0.7960	0.4170
Franks	AZ	N00006423	0.9530	0.3510
Garrett	NJ	N00000743	0.8670	0.0540
Gohmert	TX	N00026148	0.8200	0.0850
Gosar	AZ	N00030771	0.8070	0.0790
Gowdy	SC	N00030880	0.9040	0.1080
Graves	MO	N00013323	0.7920	-0.1040
Graves	GA	N00030788	0.9990	0.0530
Griffith	VA	N00032029	0.8670	-0.2690
Harris	MD	N00029147	0.8780	-0.0990
Holding	NC	N00033399	0.9110	-0.1740
Hudson	NC	N00033630	0.9390	-0.2040
Huelskamp	KS	N00027649	0.9960	-0.0920
Huizenga	MI	N00030673	0.9110	-0.0670
Hultgren	IL	N00031104	0.7660	0.0510
Hurt	VA	N00031265	0.7990	0.1630
Issa	CA	N00007017	0.7530	0.1750
Jenkins	KS	N00029077	0.8220	-0.1060
Johnson	OH	N00032088	0.7580	-0.1290
Johnson	TX	N00008122	0.7800	0.4490
Johnson	TX	N00008028	0.7800	0.4490
Jordan	OH	N00027894	0.9210	0.0580
King	IA	N00025237	0.7930	0.4790
Labrador	ID	N00031377	0.9990	0.0460
Lamborn	CO	N00028133	0.8530	0.3800
Long	MO	N00030676	0.7540	0.4920
Lummis	WY	N00029788	0.9390	-0.0500
Marchant	TX	N00026710	0.7980	0.2310
Massie	KY	N00034041	0.9990	0.0490
McClintock	CA	N00006863	0.9980	0.0570
McHenry	NC	N00026627	0.7850	0.3310
Meadows	NC	N00033631	0.8330	0.2260
Messer	IN	N00012546	0.7920	0.1330
Miller	FL	N00013846	0.7950	0.3870
Mulvaney	SC	N00031412	1.0000	0.0050
Nugent	FL	N00032441	0.7670	-0.0290
Paulsen	MN	N00029391	0.7630	-0.3110
Pearce	NM	N00012672	0.7930	-0.0350
Perry	PA	N00034120	0.8500	0.0800
Pittenger	NC	N00034416	0.8440	-0.0900
Pitts	PA	N00001633	0.7630	0.0870
Poe	TX	N00026457	0.7700	0.2780
Pompeo	KS	N00030744	0.8370	0.3830
Posey	FL	N00029662	0.7740	-0.0950
Price	GA	N00026160	0.8520	0.1520
Ribble	WI	N00030968	0.9290	-0.1460
Rice	SC	N00033832	0.8400	0.1900
Rigell	VA	N00030962	0.7950	-0.2890
Rohrabacher	CA	N00007151	0.7720	0.0980
Rokita	IN	N00031741	0.8430	0.1760
Rooney	FL	N00029018	0.7520	-0.0250
Ross	FL	N00030645	0.7760	0.2390
Royce	CA	N00008264	0.8900	-0.1580
Ryan	WI	N00004357	0.7990	-0.1080
Salmon	AZ	N00006446	0.8540	-0.0330
Sanford	SC	N00002424	0.9860	-0.1680
Scalise	LA	N00009660	0.7840	0.1970
Schweikert	AZ	N00006460	0.8920	0.0770
Scott	GA	N00024871	0.7860	0.2870
Sessions	TX	N00005681	0.7640	0.3070
